"","trait","density.quantile","rhat","num.div","median.intercept","CI.intercept","median.receiver.trait","CI.receiver.trait","interactions"
"1","SRL","low",1.02358513301291,93,0.00123770387073226,"[0;0.003]",0.00028749693716406,"[-0.002;0.002]","Conspecific"
"2","Root length","low",1.04973573737001,214,0.00154194194920539,"[0;0.003]",-0.000211048748133893,"[-0.002;0.002]","Conspecific"
"3","Root tips","low",1.01312705487185,48,0.0015113971393712,"[0;0.003]",-0.000215971492002434,"[-0.002;0.002]","Conspecific"
"4","Root mass density","low",1.04116241158629,83,0.00161344369746704,"[0;0.003]",-0.00161473626167385,"[-0.003;0]","Conspecific"
"5","Floret width","low",1.04179337571975,106,0.00134843215365958,"[-0.001;0.003]",-0.000219989535784581,"[-0.002;0.002]","Conspecific"
"6","Seed mass","low",1.05305610417657,144,0.00132887271954286,"[0;0.003]",0.00227624245935954,"[0.001;0.004]","Conspecific"
"7","C13 water use efficiency","low",1.01092935494494,107,0.00146011515073898,"[0;0.003]",-0.000509825975305576,"[-0.002;0.002]","Conspecific"
"8","SLA","low",1.03966358495665,74,0.00126187068644173,"[-0.001;0.003]",0.000887588548819801,"[-0.001;0.003]","Conspecific"
"9","Stem height","low",1.03556302607542,71,0.00117720177506097,"[-0.001;0.003]",0.000443812986284026,"[-0.001;0.002]","Conspecific"
