"","trait","density.quantile","rhat","num.div","rhat.dist","median.intercept.model.1","CI.intercept.model.1","median.emitter.trait.model.1","CI.emitter.trait.model.1","median.receiver.trait.model.1","CI.receiver.trait.model.1","median.intercept.model.2","CI.intercept.model.2","median.dist.trait.model.2","CI.dist.trait.model.2","interactions"
"1","SRL","low",1.00575995074949,3,1.00434548034828,0.00711412157217123,"[-0.009;0.024]",0.0058936233622432,"[-0.005;0.016]",-0.00437810468150723,"[-0.019;0.01]",0.00678468877487667,"[-0.009;0.023]",-0.00747852242427105,"[-0.017;0.003]","Heterospecific"
"2","Root length","low",1.00319076480259,2,1.01047712294538,0.0041571299199498,"[-0.014;0.024]",0.000468708104391702,"[-0.01;0.011]",-0.0138576806672009,"[-0.028;0]",0.00403460964262273,"[-0.014;0.022]",-0.00747588591110931,"[-0.019;0.003]","Heterospecific"
"3","Root tips","low",1.00356025346631,5,1.00297964354491,0.00426259966261416,"[-0.013;0.022]",0.0063332749874423,"[-0.005;0.017]",-0.012943930391619,"[-0.029;0.003]",0.00450177121153031,"[-0.012;0.021]",-0.0121421025031284,"[-0.022;-0.002]","Heterospecific"
"4","Root mass density","low",1.0033656279182,3,1.00320124131923,0.00429300507472514,"[-0.014;0.022]",0.00341766276331124,"[-0.006;0.013]",-0.0111538669753678,"[-0.025;0.004]",0.0035209312928903,"[-0.014;0.021]",-0.00842248235178877,"[-0.019;0.002]","Heterospecific"
"5","Floret width","low",1.00323071768399,1,1.00443489631792,0.00777616382075726,"[-0.008;0.024]",-0.00936606101598025,"[-0.018;0]",-0.00995066438538877,"[-0.023;0.003]",0.00818147137582064,"[-0.008;0.025]",0.0035814227104084,"[-0.008;0.015]","Heterospecific"
"6","Seed mass","low",1.00423726774156,7,1.00392704695691,0.00780931067284454,"[-0.011;0.025]",-0.00556563402797794,"[-0.016;0.005]",-0.00232154830859566,"[-0.017;0.012]",0.00726650340961696,"[-0.01;0.024]",0.00299062482450929,"[-0.007;0.014]","Heterospecific"
"7","C13 water use efficiency","low",1.01383555924645,2,1.00530660977383,0.0038545594584723,"[-0.012;0.02]",0.00910886817357881,"[-0.001;0.018]",-0.0161103061329469,"[-0.029;-0.004]",0.00384958596812945,"[-0.011;0.02]",-0.0168349468583848,"[-0.027;-0.007]","Heterospecific"
"8","SLA","low",1.00375274093678,5,1.00592615487336,0.0077137891757031,"[-0.01;0.025]",-0.00845761917985322,"[-0.017;0.001]",0.00271452097020286,"[-0.012;0.016]",0.0077653052381521,"[-0.01;0.024]",0.00920571463832276,"[-0.001;0.019]","Heterospecific"
"9","Stem height","low",1.00314549435167,1,1.00486022122509,0.00755692174593654,"[-0.009;0.025]",-0.000411122515846185,"[-0.01;0.009]",-0.00858716514598945,"[-0.022;0.004]",0.00802585487981802,"[-0.009;0.025]",-0.00446935148760624,"[-0.016;0.006]","Heterospecific"
