Project.ID,Plant.ID,species,sample.number,sla.mm2.mg,mean.seed.mass.mg,seed.notes,height.mm,width.longest.mm,width.90.from.longest.mm,leaf.area.mm2,leaf.wet.mass.mg,leaf.dry.mass.mg,aboverground.biomass.mg,number.buds,number.flowers,number.seeds,C13.plant.permill,delta.C13.discrimination.permill,C13.notes,root.dry.mass.mg,root.wet.mass.mg,root.volume.less.than.0.5mm.diameter.mm3,root.length.less.than.0.5mm.diameter.mm3,total.root.volume.cm3,total.root.length.cm,number.of.root.tips,root.length.per.volume.cm.m3,root.notes,stem.wet.mass.mg,stem.dry.mass.mg,stem.diameter.1.mm,stem.diameter.2.mm,stem.length
COEX.1,Arctotheca calendula.5.C,Arctotheca calendula,1,12.43792454,NA,,130,140,NA,435.8,NA,35.038,716.4,NA,NA,NA,-29.36156724,22.00774925,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.5.E,Arctotheca calendula,1,11.44150823,NA,,110,70,NA,432.1,NA,37.766,862.3,NA,NA,NA,-28.94407455,21.56835049,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.6.C,Arctotheca calendula,1,16.55745565,NA,,100,85,NA,207.2,NA,12.514,126,NA,NA,NA,-29.657756,22.31970847,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.6.E,Arctotheca calendula,1,11.79610149,NA,,75,136,NA,152.5,NA,12.928,433.2,NA,NA,NA,-28.76085309,21.37563457,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.7.C,Arctotheca calendula,1,10.55572803,NA,,80,40,NA,544,NA,51.536,253.5,NA,NA,NA,-27.40338588,19.95008578,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.7.E,Arctotheca calendula,1,24.09593545,NA,,35,39,NA,322.5,139.2,13.384,235.1,NA,NA,NA,-28.42907739,21.02685138,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.7.E,Arctotheca calendula,2,NA,NA,,NA,NA,NA,NA,21,17.25,235.1,NA,NA,NA,-28.42907739,21.02685138,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.8.C,Arctotheca calendula,1,12.37782122,NA,,110,70,60,139.3,NA,11.254,199.1,NA,NA,NA,-28.7304699,21.34368397,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.8.E,Arctotheca calendula,1,10.24640428,NA,,70,115,114,183.8,NA,17.938,410.5,NA,NA,NA,-29.32107449,21.96511527,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.9.C,Arctotheca calendula,1,9.054811585,NA,,45,45,20,232.6,NA,25.688,105.8,NA,NA,NA,-32.4661067,25.28707973,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.9.E,Arctotheca calendula,1,11.98095034,NA,,65,100,60,223.9,NA,18.688,288.5,NA,NA,NA,-29.24534673,21.88539263,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.1.C,Daucus glochidiatus,1,12.19979116,NA,,110,35,30,70.1,NA,5.746,98.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.1.E,Daucus glochidiatus,1,14.4497465,NA,,143,60,48,96.9,NA,6.706,139.8,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.10.C,Daucus glochidiatus,1,13.18864775,NA,,211,46,40,47.4,NA,3.594,126.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.10.C,Daucus glochidiatus,2,NA,NA,,NA,NA,NA,NA,NA,4.778,126.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
