unique_id,seed,focal,code,site,treatment
PE_OP_10_3_HYGL,16,Hyalosperma glutinosum,HYGL,PE,OP
PE_OP_10_5_HYGL,4,Hyalosperma glutinosum,HYGL,PE,OP
PE_OP_10_1_GORO,0,Goodenia rosea,GORO,PE,OP
PE_OP_10_2_GORO,5,Goodenia rosea,GORO,PE,OP
PE_OP_10_3_GORO,6,Goodenia rosea,GORO,PE,OP
PE_OP_10_4_GORO,6,Goodenia rosea,GORO,PE,OP
PE_OP_10_5_GORO,5,Goodenia rosea,GORO,PE,OP
PE_OP_10_6_GORO,4,Goodenia rosea,GORO,PE,OP
PE_OP_10_7_GORO,3,Goodenia rosea,GORO,PE,OP
PE_OP_10_8_GORO,0,Goodenia rosea,GORO,PE,OP
PE_OP_10_9_GORO,2,Goodenia rosea,GORO,PE,OP
PE_OP_10_10_GORO,31,Goodenia rosea,GORO,PE,OP
PE_OP_10_13_GORO,12,Goodenia rosea,GORO,PE,OP
PE_OP_10_14_GORO,3,Goodenia rosea,GORO,PE,OP
PE_OP_10_15_GORO,13,Goodenia rosea,GORO,PE,OP
PE_OP_10_16_GORO,11,Goodenia rosea,GORO,PE,OP
PE_OP_10_17_GORO,1,Goodenia rosea,GORO,PE,OP
PE_OP_10_19_GORO,10,Goodenia rosea,GORO,PE,OP
PE_OP_10_21_GORO,13,Goodenia rosea,GORO,PE,OP
PE_OP_10_22_GORO,11,Goodenia rosea,GORO,PE,OP
PE_OP_10_24_GORO,9,Goodenia rosea,GORO,PE,OP
PE_OP_10_26_GORO,0,Goodenia rosea,GORO,PE,OP
PE_OP_10_27_GORO,7,Goodenia rosea,GORO,PE,OP
