unique_id,seed,focal,code,site,treatment
PE_CL_6_11_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_12_TRCY,20,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_13_TRCY,32,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_14_TRCY,18,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_15_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_16_TRCY,30,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_17_TRCY,14,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_18_TRCY,22,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_19_TRCY,22,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_20_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_21_TRCY,20,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_22_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_23_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_24_TRCY,44,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_25_TRCY,12,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_26_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_28_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_30_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_31_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_32_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_33_TRCY,16,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_34_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_35_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_36_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_37_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_38_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_39_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_40_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_41_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_42_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_43_TRCY,18,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_44_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_45_TRCY,16,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_46_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_47_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_48_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_49_TRCY,8,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_51_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_53_TRCY,14,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_54_TRCY,18,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_55_TRCY,8,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_57_TRCY,8,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_58_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_59_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_60_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_61_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_1_PEAI,16,Pentameris airoides,PEAI,PE,CL
PE_CL_6_2_PEAI,24,Pentameris airoides,PEAI,PE,CL
PE_CL_6_4_PEAI,20,Pentameris airoides,PEAI,PE,CL
PE_CL_6_5_PEAI,32,Pentameris airoides,PEAI,PE,CL
PE_CL_6_6_PEAI,16,Pentameris airoides,PEAI,PE,CL
PE_CL_6_8_PEAI,18,Pentameris airoides,PEAI,PE,CL
