plot,treatment,focal,id.focal,seed,year,reserve
3A,0,HYGL,10,16,2017,perenjori
3B,1,CHPS,6,NA,2017,perenjori
1B,1,PEAI,158,24,2017,perenjori
2A,0,HYGL,353,31,2017,perenjori
1B,1,HYGL,2,13,2017,perenjori
9B,1,AUEL,6,NA,2017,perenjori
8B,1,PTGA,7,2,2017,perenjori
2A,0,HYGL,299,0,2017,perenjori
1B,1,HYGL,9,0,2017,perenjori
7A,0,POMU,31,NA,2017,perenjori
2B,1,HYGL,54,5,2017,perenjori
1B,1,PEAI,194,16,2017,perenjori
5B,1,VERO,102,NA,2017,perenjori
7B,1,CHPS,8,NA,2017,perenjori
2B,1,UNKNOWN,15,NA,2017,perenjori
7B,1,CEOB,2,4,2017,perenjori
3A,0,UNKNOWN,F19,NA,2017,perenjori
2A,0,PLDE,33,NA,2017,perenjori
2A,0,BRPE,24,2,2017,perenjori
2A,0,HYGL,197,NA,2017,perenjori
2A,0,PLDE,31,NA,2017,perenjori
2B,1,HYGL,15,3,2017,perenjori
2A,0,HYGL,181,NA,2017,perenjori
3A,0,CHEI,2,NA,2017,perenjori
2A,0,HYGL,292,NA,2017,perenjori
2B,1,HYGL,75,3,2017,perenjori
2A,0,HYGL,354,NA,2017,perenjori
2A,0,HYGL,173,3,2017,perenjori
9A,0,POMU,18,NA,2017,perenjori
1B,1,PEAI,344,NA,2017,perenjori
2A,0,HYGL,306,5,2017,perenjori
2A,0,HYGL,190,2,2017,perenjori
3A,0,CHEI,27,NA,2017,perenjori
2B,1,HYGL,29,11,2017,perenjori
2A,0,HYGL,264,0,2017,perenjori
9B,1,CAER,53,NA,2017,perenjori
2B,1,HYGL,34,7,2017,perenjori
3A,0,UNKNOWN,21,4,2017,perenjori
3A,0,UNKNOWN,25,5,2017,perenjori
2A,0,HYGL,171,0,2017,perenjori
5A,0,POCA,17,0,2017,perenjori
2A,0,HYGL,194,12,2017,perenjori
4A,0,VERO,83,0,2017,perenjori
4A,0,GOOC,3,NA,2017,perenjori
2A,0,HYGL,268,NA,2017,perenjori
2A,0,HYGL,315,6,2017,perenjori
1B,1,PEAI,422,32,2017,perenjori
2A,0,HYGL,308,7,2017,perenjori
2A,0,BRPE,35,NA,2017,perenjori
2A,0,HYGL,207,0,2017,perenjori
6B,1,PEAI,118,8,2017,perenjori
2A,0,HYGL,169,NA,2017,perenjori
3A,0,UNKNOWN,F9,2,2017,perenjori
6B,1,PEAI,90,NA,2017,perenjori
2A,0,HYGL,313,27,2017,perenjori
2B,1,PEAI,4,0,2017,perenjori
6B,1,PEAI,107,NA,2017,perenjori
2A,0,HYGL,322,9,2017,perenjori
2A,0,PEAI,33,NA,2017,perenjori
6B,1,PEAI,79,NA,2017,perenjori
2B,1,HYGL,40,7,2017,perenjori
2B,1,HYGL,33,21,2017,perenjori
3B,1,UNKNOWN,1,NA,2017,perenjori
6A,0,PEAI,11,4,2017,perenjori
6A,0,PTGA,1,3,2017,perenjori
7A,0,PTGA,10,NA,2017,perenjori
7A,0,PTGA,1,49,2017,perenjori
4A,0,GOOC,6,NA,2017,perenjori
6B,1,PEAI,102,NA,2017,perenjori
2A,0,HYGL,263,4,2017,perenjori
8A,0,PTGA,12,NA,2017,perenjori
2A,0,HYGL,193,NA,2017,perenjori
7A,0,PTGA,24,0,2017,perenjori
2A,0,HYGL,249,14,2017,perenjori
7A,0,POCA,1,NA,2017,perenjori
3A,0,TRSP,1,NA,2017,perenjori
2A,0,HYGL,351,5,2017,perenjori
1B,1,PTGA,2,11,2017,perenjori
2A,0,HYGL,220,1,2017,perenjori
2B,1,HYGL,90,15,2017,perenjori
7A,0,PTGA,35,0,2017,perenjori
2A,0,HYGL,367,NA,2017,perenjori
6A,0,PEAI,12,NA,2017,perenjori
10B,1,VERO,7,0,2017,perenjori
2B,1,HYGL,62,27,2017,perenjori
2B,1,HYGL,13,19,2017,perenjori
2A,0,PLDE,16,30,2017,perenjori
2A,0,HYGL,252,0,2017,perenjori
2A,0,PEAI,65,6,2017,perenjori
3A,0,UNKNOWN,24,NA,2017,perenjori
7B,1,GOOC,1,NA,2017,perenjori
2B,1,HYGL,87,64,2017,perenjori
3A,0,UNKNOWN,F6,0,2017,perenjori
2A,0,PLDE,40,0,2017,perenjori
2B,1,HYGL,1,15,2017,perenjori
2A,0,HYGL,236,7,2017,perenjori
3A,0,CHEI,19,NA,2017,perenjori
8B,1,PEAI,1,0,2017,perenjori
4A,0,VERO,154,0,2017,perenjori
2A,0,HYGL,230,0,2017,perenjori
6B,1,PEAI,122,NA,2017,perenjori
2A,0,HYGL,316,5,2017,perenjori
2B,1,HYGL,56,33,2017,perenjori
2B,1,HYGL,84,13,2017,perenjori
6A,0,PEAI,5,NA,2017,perenjori
2A,0,PEAI,52,NA,2017,perenjori
2B,1,BRPE,1,11,2017,perenjori
2A,0,PLDE,24,11,2017,perenjori
2A,0,HYGL,356,2,2017,perenjori
2B,1,POLE,8,NA,2017,perenjori
4A,0,VERO,140,0,2017,perenjori
2B,1,HYGL,65,24,2017,perenjori
6A,0,PEAI,7,NA,2017,perenjori
7A,0,POMU,44,NA,2017,perenjori
4A,0,GOOC,7,NA,2017,perenjori
7B,1,PEAI,11,0,2017,perenjori
2A,0,HYGL,261,10,2017,perenjori
2A,0,HYGL,319,3,2017,perenjori
1A,0,UNK,FB,NA,2017,perenjori
2B,1,HYGL,2,2,2017,perenjori
3A,0,VERO,12,0,2017,perenjori
2A,0,BRPE,41,NA,2017,perenjori
3B,1,UNKNOWN,2,NA,2017,perenjori
2A,0,HYGL,371,18,2017,perenjori
2B,1,HYGL,5,16,2017,perenjori
2A,0,HYGL,331,6,2017,perenjori
3A,0,UNKNOWN,F17,1,2017,perenjori
2B,1,HYGL,50,26,2017,perenjori
2B,1,HYGL,10,20,2017,perenjori
2B,1,UNKNOWN,16,NA,2017,perenjori
3B,1,CHPS,14,NA,2017,perenjori
7B,1,PEAI,9,0,2017,perenjori
2B,1,HYGL,55,46,2017,perenjori
8A,0,PTGA,13,8,2017,perenjori
3A,0,CHPS,33,NA,2017,perenjori
7A,0,POMU,2,NA,2017,perenjori
2B,1,HYGL,52,38,2017,perenjori
2A,0,HYGL,215,4,2017,perenjori
2A,0,HYGL,376,21,2017,perenjori
2B,1,POLE,3,NA,2017,perenjori
5A,0,VERO,97,3,2017,perenjori
3A,0,VERO,69,1,2017,perenjori
5A,0,VERO,85,3,2017,perenjori
1B,1,PEAI,151,5,2017,perenjori
9A,0,PTGA,9,5,2017,perenjori
7A,0,PTGA,15,8,2017,perenjori
6B,1,PEAI,89,NA,2017,perenjori
6B,1,PTGA,12,0,2017,perenjori
5A,0,VERO,192,NA,2017,perenjori
2A,0,PEAI,76,12,2017,perenjori
7A,0,VERO,11,0,2017,perenjori
2B,1,HYGL,45,13,2017,perenjori
7A,0,POMU,34,NA,2017,perenjori
7A,0,PTGA,37,0,2017,perenjori
7A,0,PTGA,30,NA,2017,perenjori
2A,0,PEAI,32,NA,2017,perenjori
2B,1,PEAI,5,0,2017,perenjori
9A,0,PTGA,11,16,2017,perenjori
3A,0,UNKNOWN,23,0,2017,perenjori
8A,0,PTGA,14,0,2017,perenjori
7B,1,PEAI,16,0,2017,perenjori
7B,1,GOOC,4,6,2017,perenjori
2B,1,HYGL,86,43,2017,perenjori
2A,0,HYGL,259,8,2017,perenjori
7B,1,PEAI,13,0,2017,perenjori
7A,0,POMU,45,NA,2017,perenjori
2B,1,HYGL,32,4,2017,perenjori
7B,1,CHPS,7,NA,2017,perenjori
5A,0,VERO,24,2,2017,perenjori
2B,1,HYGL,66,23,2017,perenjori
2B,1,HYGL,51,31,2017,perenjori
3B,1,TRSP,2,4,2017,perenjori
7A,0,CHPS,14,NA,2017,perenjori
9A,0,PEAI,7,0,2017,perenjori
5B,1,VERO,174,NA,2017,perenjori
2B,1,PEAI,1,16,2017,perenjori
2B,1,HYGL,19,13,2017,perenjori
1A,0,HAOD,1,0,2017,perenjori
7A,0,POMU,46,NA,2017,perenjori
8A,0,PTGA,25,10,2017,perenjori
7A,0,VERO,12,0,2017,perenjori
7B,1,PEAI,3,5,2017,perenjori
2A,0,HYGL,237,1,2017,perenjori
2A,0,PLDE,46,NA,2017,perenjori
1B,1,PTGA,9,51,2017,perenjori
6A,0,PEAI,9,NA,2017,perenjori
3A,0,VERO,8,17,2017,perenjori
7A,0,PEAI,6,NA,2017,perenjori
1A,0,WAAC,7,NA,2017,perenjori
2A,0,PLDE,47,1,2017,perenjori
5B,1,POCA,3,NA,2017,perenjori
2B,1,POLE,7,26,2017,perenjori
7B,1,GOOC,2,3,2017,perenjori
4A,0,VERO,71,3,2017,perenjori
7A,0,PTGA,3,24,2017,perenjori
5A,0,VERO,200,NA,2017,perenjori
2A,0,PEAI,62,10,2017,perenjori
5A,0,POCA,4,91,2017,perenjori
2B,1,HYGL,46,30,2017,perenjori
2A,0,PLDE,11,7,2017,perenjori
5B,1,VERO,158,4,2017,perenjori
2A,0,PLDE,15,3,2017,perenjori
2A,0,PEAI,64,NA,2017,perenjori
7B,1,VERO,15,NA,2017,perenjori
2A,0,PEAI,53,8,2017,perenjori
2A,0,HYGL,320,7,2017,perenjori
2B,1,HYGL,28,11,2017,perenjori
5B,1,VERO,144,8,2017,perenjori
3A,0,VERO,30,0,2017,perenjori
1A,0,PEAI,109,3,2017,perenjori
2A,0,CAER,1,NA,2017,perenjori
2A,0,HYGL,375,10,2017,perenjori
6B,1,PTGA,17,3,2017,perenjori
6B,1,PTGA,2,0,2017,perenjori
2A,0,HYGL,373,NA,2017,perenjori
5A,0,GOBE,1,7,2017,perenjori
9A,0,PEAI,8,10,2017,perenjori
5B,1,VERO,84,NA,2017,perenjori
2B,1,HYGL,48,25,2017,perenjori
7A,0,PTGA,2,14,2017,perenjori
7A,0,PTGA,7,5,2017,perenjori
10A,0,WAAC,2,0,2017,perenjori
2A,0,HYGL,262,0,2017,perenjori
6B,1,PTGA,4,2,2017,perenjori
5A,0,VERO,194,0,2017,perenjori
10B,1,VERO,11,NA,2017,perenjori
2B,1,HYGL,59,43,2017,perenjori
6B,1,AUEL,1,NA,2017,perenjori
1B,1,PEAI,188,33,2017,perenjori
2A,0,PLDE,6,5,2017,perenjori
8A,0,SCER,2,NA,2017,perenjori
2A,0,PEAI,50,NA,2017,perenjori
7A,0,PTGA,25,18,2017,perenjori
7B,1,PEAI,10,0,2017,perenjori
7B,1,CEOB,1,4,2017,perenjori
6A,0,PEAI,8,8,2017,perenjori
2B,1,POLE,11,0,2017,perenjori
5A,0,VERO,104,3,2017,perenjori
4A,0,PTGA,4,11,2017,perenjori
2B,1,HYGL,61,38,2017,perenjori
8B,1,PTGA,13,NA,2017,perenjori
5A,0,VERO,165,NA,2017,perenjori
9A,0,PEAI,5,0,2017,perenjori
1A,0,PEAI,68,20,2017,perenjori
10B,1,VERO,36,3,2017,perenjori
10B,1,PEAI,1,5,2017,perenjori
9A,0,PTGA,15,NA,2017,perenjori
2A,0,PEAI,72,32,2017,perenjori
2A,0,PLDE,37,0,2017,perenjori
7A,0,PTGA,20,0,2017,perenjori
7B,1,GOOC,3,5,2017,perenjori
8A,0,PTGA,15,0,2017,perenjori
8B,1,PTGA,8,2,2017,perenjori
10B,1,PTGA,2,0,2017,perenjori
7B,1,PTGA,1,0,2017,perenjori
2A,0,HYGL,170,NA,2017,perenjori
9A,0,PTGA,3,5,2017,perenjori
7A,0,PTGA,17,0,2017,perenjori
2B,1,POLE,6,22,2017,perenjori
1B,1,PTGA,5,2,2017,perenjori
7B,1,VERO,36,5,2017,perenjori
7B,1,VERO,38,NA,2017,perenjori
2A,0,PEAI,66,NA,2017,perenjori
2B,1,HYGL,3,26,2017,perenjori
7A,0,PTGA,27,24,2017,perenjori
5A,0,VERO,189,NA,2017,perenjori
10B,1,VERO,6,0,2017,perenjori
2A,0,PEAI,51,22,2017,perenjori
6A,0,PEAI,2,17,2017,perenjori
2A,0,POLE,1,NA,2017,perenjori
2B,1,VERO,15,13,2017,perenjori
4B,1,VERO,34,36,2017,perenjori
8B,1,PTGA,25,6,2017,perenjori
7B,1,PEAI,1,14,2017,perenjori
7B,1,AUEL,1,0,2017,perenjori
7A,0,PEAI,1,NA,2017,perenjori
7B,1,PEAI,2,NA,2017,perenjori
8A,0,PLDE,2,0,2017,perenjori
2A,0,VERO,29,NA,2017,perenjori
10B,1,VERO,35,0,2017,perenjori
5B,1,VERO,175,4,2017,perenjori
7A,0,PTGA,34,0,2017,perenjori
6B,1,PTGA,5,3,2017,perenjori
10B,1,PTGA,1,NA,2017,perenjori
3B,1,CHEI,7,NA,2017,perenjori
7A,0,PEAI,3,0,2017,perenjori
2B,1,HYGL,27,26,2017,perenjori
10B,1,VERO,39,16,2017,perenjori
6A,0,AUEL,1,0,2017,perenjori
2A,0,PEAI,75,13,2017,perenjori
9A,0,PTGA,4,13,2017,perenjori
10A,0,PTGA,1,2,2017,perenjori
7B,1,PEAI,14,0,2017,perenjori
2A,0,PEAI,48,8,2017,perenjori
7A,0,PTGA,12,18,2017,perenjori
5B,1,VERO,41,20,2017,perenjori
7B,1,STFI,1,4,2017,perenjori
1A,0,PEAI,22,6,2017,perenjori
5A,0,WAAC,1,0,2017,perenjori
2B,1,HYGL,35,28,2017,perenjori
4A,0,VERO,74,0,2017,perenjori
2A,0,UNKNOWN,5,NA,2017,perenjori
1A,0,PEAI,19,NA,2017,perenjori
5B,1,VERO,103,NA,2017,perenjori
7A,0,PTGA,18,0,2017,perenjori
9B,1,CAER,17,4,2017,perenjori
7A,0,PTGA,5,4,2017,perenjori
2A,0,PLDE,43,NA,2017,perenjori
2A,0,PEAI,31,32,2017,perenjori
7B,1,GOOC,7,6,2017,perenjori
7A,0,PEAI,2,NA,2017,perenjori
5A,0,VERO,17,2,2017,perenjori
9B,1,CAER,55,NA,2017,perenjori
8A,0,SCER,9,NA,2017,perenjori
10A,0,VERO,5,NA,2017,perenjori
1B,1,PEAI,148,26,2017,perenjori
9A,0,PTGA,13,NA,2017,perenjori
5A,0,VERO,181,NA,2017,perenjori
5B,1,VERO,93,3,2017,perenjori
9B,1,PEAI,38,88,2017,perenjori
7A,0,VERO,2,1,2017,perenjori
5A,0,VERO,210,4,2017,perenjori
7B,1,VERO,26,2,2017,perenjori
5B,1,VERO,165,2,2017,perenjori
3A,0,VERO,16,2,2017,perenjori
3A,0,VERO,7,4,2017,perenjori
4A,0,VERO,177,0,2017,perenjori
10A,0,VERO,10,NA,2017,perenjori
9B,1,PTGA,4,NA,2017,perenjori
2B,1,VERO,31,15,2017,perenjori
8B,1,PTGA,34,3,2017,perenjori
7A,0,VERO,1,3,2017,perenjori
5B,1,VERO,171,2,2017,perenjori
1A,0,UNK,GR,NA,2017,perenjori
7A,0,PTGA,6,10,2017,perenjori
3A,0,CHEI,11,NA,2017,perenjori
2B,1,POLE,4,3,2017,perenjori
10B,1,VERO,29,0,2017,perenjori
5B,1,VERO,88,2,2017,perenjori
5A,0,VERO,50,2,2017,perenjori
5B,1,VERO,147,4,2017,perenjori
7A,0,VERO,43,0,2017,perenjori
3A,0,VERO,11,0,2017,perenjori
2B,1,VERO,6,NA,2017,perenjori
7B,1,VERO,34,1,2017,perenjori
3B,1,TRSP,1,4,2017,perenjori
4A,0,GOOC,2,NA,2017,perenjori
6A,0,PEAI,3,NA,2017,perenjori
7B,1,GOOC,11,5,2017,perenjori
5A,0,VERO,91,5,2017,perenjori
6B,1,PEAI,123,NA,2017,perenjori
3B,1,VERO,126,NA,2017,perenjori
2A,0,PLDE,13,16,2017,perenjori
9B,1,PTGA,3,48,2017,perenjori
5A,0,VERO,96,2,2017,perenjori
3B,1,UNKNOWN,3,NA,2017,perenjori
7B,1,PEAI,7,21,2017,perenjori
6A,0,PEAI,4,26,2017,perenjori
6A,0,PTGA,4,0,2017,perenjori
7A,0,PTGA,9,0,2017,perenjori
2A,0,PLDE,9,2,2017,perenjori
5B,1,POCA,10,90,2017,perenjori
5B,1,POCA,8,NA,2017,perenjori
10B,1,POCA,4,0,2017,perenjori
8A,0,PLDE,3,1,2017,perenjori
7B,1,VERO,13,4,2017,perenjori
5B,1,VERO,75,NA,2017,perenjori
9B,1,PEAI,57,NA,2017,perenjori
10B,1,VERO,25,0,2017,perenjori
3A,0,AUEL,6,0,2017,perenjori
6B,1,PTGA,11,0,2017,perenjori
5A,0,GOBE,3,NA,2017,perenjori
3B,1,CHEI,5,NA,2017,perenjori
2B,1,UNKNOWN,11,NA,2017,perenjori
7A,0,PTGA,441,NA,2017,perenjori
7A,0,PTGA,19,7,2017,perenjori
7A,0,PTGA,39,0,2017,perenjori
5A,0,VERO,19,NA,2017,perenjori
5A,0,VERO,114,0,2017,perenjori
5A,0,VERO,162,NA,2017,perenjori
9B,1,CAER,29,NA,2017,perenjori
1A,0,WAAC,2,0,2017,perenjori
1A,0,PEDU,23,NA,2017,perenjori
3A,0,CHEI,29,NA,2017,perenjori
5A,0,VERO,86,4,2017,perenjori
5A,0,GOBE,6,5,2017,perenjori
9B,1,PTGA,1,21,2017,perenjori
7A,0,PTGA,11,13,2017,perenjori
3A,0,VERO,34,2,2017,perenjori
3B,1,CHEI,6,NA,2017,perenjori
7A,0,PTGA,28,22,2017,perenjori
2A,0,PLDE,7,4,2017,perenjori
3A,0,VERO,19,2,2017,perenjori
4B,1,VERO,50,11,2017,perenjori
3A,0,VERO,54,0,2017,perenjori
7A,0,VERO,15,NA,2017,perenjori
7B,1,GOOC,9,5,2017,perenjori
7A,0,PTGA,38,30,2017,perenjori
7B,1,VERO,25,3,2017,perenjori
2A,0,PEAI,38,20,2017,perenjori
2A,0,PLDE,48,11,2017,perenjori
5A,0,VERO,29,8,2017,perenjori
7A,0,UNK,GRASS,NA,2017,perenjori
8A,0,PLDE,1,0,2017,perenjori
8B,1,PEAI,2,NA,2017,perenjori
2A,0,PEAI,49,18,2017,perenjori
2A,0,VERO,40,NA,2017,perenjori
7B,1,CRAS,8,NA,2017,perenjori
1A,0,MEDI,13,NA,2017,perenjori
5A,0,GOBE,9,18,2017,perenjori
7B,1,VERO,45,2,2017,perenjori
7A,0,PTGA,13,NA,2017,perenjori
7A,0,PTGA,4,15,2017,perenjori
1B,1,PEAI,326,54,2017,perenjori
8A,0,SCER,4,NA,2017,perenjori
10A,0,VERO,9,NA,2017,perenjori
5A,0,VERO,68,2,2017,perenjori
10B,1,VERO,1,6,2017,perenjori
2A,0,PLDE,35,5,2017,perenjori
5A,0,VERO,83,9,2017,perenjori
6A,0,PEAI,13,30,2017,perenjori
10B,1,POCA,9,15,2017,perenjori
5A,0,VERO,35,7,2017,perenjori
9B,1,VERO,8,NA,2017,perenjori
5B,1,VERO,173,NA,2017,perenjori
10B,1,VERO,31,1,2017,perenjori
2B,1,POLE,1,0,2017,perenjori
7A,0,PTGA,36,29,2017,perenjori
5A,0,VERO,92,0,2017,perenjori
8B,1,PTGA,6,6,2017,perenjori
2B,1,VERO,10,NA,2017,perenjori
3B,1,VERO,79,4,2017,perenjori
5A,0,UNKNOWN,2,NA,2017,perenjori
1B,1,MEDI,8,1,2017,perenjori
8A,0,PTGA,30,NA,2017,perenjori
2B,1,POLE,10,18,2017,perenjori
5B,1,VERO,112,NA,2017,perenjori
5B,1,VERO,136,5,2017,perenjori
1B,1,MEDI,30,NA,2017,perenjori
7A,0,PTGA,26,19,2017,perenjori
1B,1,MEDI,28,NA,2017,perenjori
1A,0,HAOD,2,NA,2017,perenjori
5B,1,VERO,137,2,2017,perenjori
6A,0,PEAI,18,27,2017,perenjori
5A,0,VERO,137,1,2017,perenjori
7B,1,GOOC,10,9,2017,perenjori
2B,1,VERO,65,NA,2017,perenjori
5B,1,VERO,97,NA,2017,perenjori
9B,1,PEAI,54,NA,2017,perenjori
2A,0,PEAI,35,68,2017,perenjori
3A,0,VERO,23,2,2017,perenjori
5A,0,VERO,140,10,2017,perenjori
8A,0,SCER,5,NA,2017,perenjori
5A,0,VERO,26,3,2017,perenjori
4B,1,VERO,76,7,2017,perenjori
9B,1,CAER,22,10,2017,perenjori
8B,1,PTGA,32,26,2017,perenjori
3B,1,CHEI,8,NA,2017,perenjori
7A,0,PTGA,8,0,2017,perenjori
7B,1,VERO,3,2,2017,perenjori
5A,0,VERO,32,2,2017,perenjori
5A,0,VERO,77,NA,2017,perenjori
3B,1,VERO,81,2,2017,perenjori
9B,1,PEAI,10,66,2017,perenjori
5A,0,VERO,89,2,2017,perenjori
1A,0,MEDI,31,1,2017,perenjori
3B,1,CHEI,9,NA,2017,perenjori
7B,1,BRRU,1,1,2017,perenjori
1B,1,PEAI,370,30,2017,perenjori
8A,0,PTGA,17,NA,2017,perenjori
5A,0,VERO,12,2,2017,perenjori
3A,0,VERO,21,1,2017,perenjori
5B,1,VERO,129,26,2017,perenjori
8B,1,PTGA,4,10,2017,perenjori
1A,0,WAAC,4,6,2017,perenjori
5A,0,VERO,81,18,2017,perenjori
5B,1,VERO,169,NA,2017,perenjori
1A,0,PEAI,120,26,2017,perenjori
2A,0,PLDE,12,12,2017,perenjori
7A,0,PTGA,22,9,2017,perenjori
7A,0,PTGA,32,0,2017,perenjori
10B,1,VERO,10,0,2017,perenjori
3A,0,POLE,2,NA,2017,perenjori
3B,1,CHEI,11,NA,2017,perenjori
5A,0,VERO,208,2,2017,perenjori
5B,1,VERO,9,11,2017,perenjori
5A,0,VERO,205,2,2017,perenjori
5B,1,VERO,20,2,2017,perenjori
6A,0,PEAI,10,42,2017,perenjori
3A,0,VERO,31,NA,2017,perenjori
5A,0,VERO,13,3,2017,perenjori
5A,0,VERO,98,2,2017,perenjori
5A,0,VERO,166,9,2017,perenjori
3B,1,VERO,131,1,2017,perenjori
3A,0,UNKNOWN,28,NA,2017,perenjori
3B,1,VERO,69,2,2017,perenjori
7B,1,VERO,70,NA,2017,perenjori
1A,0,MEDI,36,2,2017,perenjori
5B,1,VERO,126,4,2017,perenjori
5A,0,VERO,20,NA,2017,perenjori
5A,0,VERO,167,7,2017,perenjori
7A,0,VERO,36,9,2017,perenjori
5A,0,VERO,100,0,2017,perenjori
3B,1,VERO,42,NA,2017,perenjori
5A,0,VERO,201,8,2017,perenjori
5A,0,VERO,3,1,2017,perenjori
5A,0,VERO,143,16,2017,perenjori
3B,1,VERO,67,NA,2017,perenjori
5B,1,VERO,107,2,2017,perenjori
2B,1,PLDE,6,9,2017,perenjori
6B,1,PTGA,3,0,2017,perenjori
3A,0,TRSP,2,6,2017,perenjori
5A,0,WAAC,4,7,2017,perenjori
7A,0,VERO,46,NA,2017,perenjori
5B,1,VERO,146,0,2017,perenjori
7B,1,VERO,21,6,2017,perenjori
3B,1,VERO,60,3,2017,perenjori
2A,0,PLDE,29,4,2017,perenjori
7A,0,VERO,26,10,2017,perenjori
9A,0,PTGA,14,NA,2017,perenjori
5A,0,VERO,136,2,2017,perenjori
10B,1,VERO,20,6,2017,perenjori
5B,1,VERO,21,3,2017,perenjori
5B,1,VERO,54,3,2017,perenjori
10A,0,VERO,7,NA,2017,perenjori
5A,0,VERO,160,3,2017,perenjori
5A,0,VERO,36,NA,2017,perenjori
10B,1,VERO,24,1,2017,perenjori
5A,0,VERO,37,NA,2017,perenjori
5B,1,VERO,32,2,2017,perenjori
10B,1,POCA,1,1,2017,perenjori
2A,0,VERO,47,1,2017,perenjori
7A,0,VERO,38,NA,2017,perenjori
7B,1,VERO,47,NA,2017,perenjori
5B,1,POCA,24,NA,2017,perenjori
5A,0,VERO,212,NA,2017,perenjori
5B,1,POCA,25,NA,2017,perenjori
7A,0,VERO,23,6,2017,perenjori
1A,0,GOBE,7,NA,2017,perenjori
5B,1,VERO,74,0,2017,perenjori
3B,1,WAAC,1,0,2017,perenjori
5A,0,VERO,23,3,2017,perenjori
3B,1,VERO,5,2,2017,perenjori
2A,0,PLDE,28,11,2017,perenjori
1A,0,WAAC,6,17,2017,perenjori
5B,1,POCA,4,5,2017,perenjori
5A,0,VERO,18,3,2017,perenjori
7A,0,PTGA,29,41,2017,perenjori
5A,0,VERO,49,1,2017,perenjori
5B,1,VERO,108,NA,2017,perenjori
9A,0,PTGA,1,24,2017,perenjori
10B,1,VERO,23,6,2017,perenjori
9A,0,PTGA,5,10,2017,perenjori
10B,1,VERO,37,0,2017,perenjori
10B,1,VERO,33,0,2017,perenjori
5B,1,POCA,21,3,2017,perenjori
3B,1,VERO,52,2,2017,perenjori
2B,1,WAAC,2,0,2017,perenjori
7A,0,PTGA,33,0,2017,perenjori
3A,0,CHEI,12,NA,2017,perenjori
1B,1,PTGA,6,7,2017,perenjori
5A,0,VERO,134,15,2017,perenjori
5B,1,POCA,22,6,2017,perenjori
6B,1,MEDI,1,NA,2017,perenjori
5B,1,VERO,83,1,2017,perenjori
5A,0,VERO,90,0,2017,perenjori
5A,0,VERO,209,NA,2017,perenjori
1A,0,GOBE,5,NA,2017,perenjori
7B,1,VERO,11,4,2017,perenjori
5A,0,VERO,58,13,2017,perenjori
7A,0,VERO,21,NA,2017,perenjori
2B,1,STFI,2,2,2017,perenjori
4A,0,VERO,73,0,2017,perenjori
6A,0,PEAI,16,153,2017,perenjori
5B,1,VERO,98,NA,2017,perenjori
7A,0,PTGA,40,12,2017,perenjori
9B,1,PEAI,32,NA,2017,perenjori
7B,1,VERO,4,0,2017,perenjori
7B,1,VERO,69,NA,2017,perenjori
10B,1,VERO,5,1,2017,perenjori
8B,1,ARCA,2,18,2017,perenjori
5A,0,VERO,118,2,2017,perenjori
7B,1,VERO,73,NA,2017,perenjori
5A,0,VERO,182,NA,2017,perenjori
3A,0,VERO,71,NA,2017,perenjori
3A,0,CHEI,40,NA,2017,perenjori
5A,0,VERO,75,3,2017,perenjori
3A,0,CHEI,42,NA,2017,perenjori
3B,1,CHEI,2,NA,2017,perenjori
10B,1,VERO,32,3,2017,perenjori
7B,1,POCA,1,NA,2017,perenjori
5B,1,VERO,157,1,2017,perenjori
5A,0,WAAC,6,6,2017,perenjori
5B,1,VERO,31,8,2017,perenjori
5A,0,VERO,94,NA,2017,perenjori
5A,0,VERO,184,0,2017,perenjori
5A,0,VERO,175,NA,2017,perenjori
3A,0,CHEI,31,NA,2017,perenjori
5B,1,VERO,45,11,2017,perenjori
4B,1,VERO,26,7,2017,perenjori
6A,0,PEAI,14,50,2017,perenjori
5A,0,VERO,22,2,2017,perenjori
9B,1,PEAI,33,NA,2017,perenjori
5B,1,POCA,32,NA,2017,perenjori
2A,0,VERO,59,NA,2017,perenjori
5B,1,WAAC,6,18,2017,perenjori
2B,1,STFI,1,4,2017,perenjori
4B,1,VERO,54,9,2017,perenjori
5B,1,WAAC,7,NA,2017,perenjori
3B,1,GOBE,1,12,2017,perenjori
5A,0,VERO,56,3,2017,perenjori
10B,1,POCA,16,0,2017,perenjori
1B,1,PEAI,337,32,2017,perenjori
5A,0,VERO,21,3,2017,perenjori
5A,0,VERO,119,3,2017,perenjori
3B,1,CHEI,13,NA,2017,perenjori
7A,0,PTGA,21,0,2017,perenjori
5A,0,VERO,164,NA,2017,perenjori
10B,1,VERO,40,13,2017,perenjori
7A,0,PTGA,16,14,2017,perenjori
5A,0,VERO,116,3,2017,perenjori
5B,1,VERO,95,4,2017,perenjori
8A,0,PTGA,11,44,2017,perenjori
7A,0,VERO,13,7,2017,perenjori
5A,0,GOBE,8,NA,2017,perenjori
5B,1,VERO,53,5,2017,perenjori
9B,1,PEAI,26,58,2017,perenjori
9B,1,PEAI,9,NA,2017,perenjori
8A,0,PLDE,4,6,2017,perenjori
7B,1,VERO,48,3,2017,perenjori
5B,1,VERO,96,2,2017,perenjori
5A,0,VERO,121,19,2017,perenjori
5B,1,VERO,49,6,2017,perenjori
2A,0,STFI,1,13,2017,perenjori
10A,0,VERO,8,NA,2017,perenjori
