plot,treatment,focal,id.focal,seed,year,reserve
8A,0,POMU,2,NA,2017,perenjori
6A,0,POMU,2,NA,2017,perenjori
1A,0,UNK,FB,NA,2017,perenjori
7A,0,CHPS,11,NA,2017,perenjori
3A,0,CHPS,4,NA,2017,perenjori
1A,0,UNK,FB,NA,2017,perenjori
5B,1,CHPS,14,NA,2017,perenjori
2A,0,PEAI,40,NA,2017,perenjori
7A,0,POMU,53,NA,2017,perenjori
7B,1,POMU,29,NA,2017,perenjori
2A,0,HYGL,216,NA,2017,perenjori
7B,1,POMU,4,NA,2017,perenjori
7A,0,POMU,37,NA,2017,perenjori
2A,0,HYGL,298,1,2017,perenjori
2A,0,HYGL,392,2,2017,perenjori
7B,1,PEAI,6,NA,2017,perenjori
2A,0,HYGL,243,11,2017,perenjori
2A,0,HYGL,217,12,2017,perenjori
2A,0,HYGL,235,0,2017,perenjori
3A,0,CRAS,10,NA,2017,perenjori
3A,0,CRAS,10,NA,2017,perenjori
7A,0,PTGA,14,38,2017,perenjori
3A,0,CRAS,1,NA,2017,perenjori
3A,0,CRAS,1,NA,2017,perenjori
7A,0,PEAI,5,0,2017,perenjori
7A,0,POMU,49,NA,2017,perenjori
9B,1,CRAS,8,NA,2017,perenjori
3A,0,UNKNOWN,F5,0,2017,perenjori
2A,0,HYGL,210,9,2017,perenjori
7B,1,POMU,27,NA,2017,perenjori
3A,0,UNKNOWN,26,NA,2017,perenjori
6A,0,POMU,9,NA,2017,perenjori
2A,0,HYGL,344,NA,2017,perenjori
7A,0,POMU,51,NA,2017,perenjori
2A,0,PEAI,42,8,2017,perenjori
7B,1,POMU,1,NA,2017,perenjori
9B,1,POMU,114,NA,2017,perenjori
7B,1,POMU,15,NA,2017,perenjori
2A,0,HYGL,182,0,2017,perenjori
2A,0,BRPE,32,NA,2017,perenjori
2A,0,HYGL,381,NA,2017,perenjori
9A,0,POMU,20,NA,2017,perenjori
7B,1,POMU,12,NA,2017,perenjori
6A,0,POMU,5,NA,2017,perenjori
3A,0,UNKNOWN,29,5,2017,perenjori
2B,1,HYGL,71,NA,2017,perenjori
3A,0,CHPS,24,NA,2017,perenjori
7A,0,POMU,26,NA,2017,perenjori
7A,0,POMU,6,NA,2017,perenjori
2A,0,HYGL,203,NA,2017,perenjori
2B,1,HYGL,70,NA,2017,perenjori
2A,0,HYGL,165,9,2017,perenjori
2A,0,HYGL,289,NA,2017,perenjori
2A,0,HYGL,164,NA,2017,perenjori
7B,1,POMU,6,NA,2017,perenjori
8A,0,POMU,8,NA,2017,perenjori
2A,0,HYGL,233,8,2017,perenjori
1B,1,UNK,FB,NA,2017,perenjori
2A,0,HYGL,362,NA,2017,perenjori
2A,0,HYGL,202,NA,2017,perenjori
3B,1,CRAS,3,NA,2017,perenjori
2B,1,HYGL,6,9,2017,perenjori
2A,0,HYGL,345,NA,2017,perenjori
5B,1,CHPS,45,NA,2017,perenjori
9B,1,POMU,85,NA,2017,perenjori
7A,0,CHPS,1,NA,2017,perenjori
7A,0,POMU,40,NA,2017,perenjori
7A,0,POMU,56,NA,2017,perenjori
2A,0,HYGL,310,6,2017,perenjori
9B,1,POMU,90,NA,2017,perenjori
2A,0,HYGL,301,10,2017,perenjori
2A,0,HYGL,294,NA,2017,perenjori
1A,0,PEAI,47,6,2017,perenjori
7A,0,POMU,50,NA,2017,perenjori
2A,0,HYGL,163,10,2017,perenjori
7A,0,POMU,12,NA,2017,perenjori
7A,0,POMU,38,NA,2017,perenjori
3A,0,UNKNOWN,F8,NA,2017,perenjori
4A,0,PTGA,11,NA,2017,perenjori
